iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.62907,,,,,,,1002,512,18.13488,512,35.41968,29.70652,28.23289,925.76776,33.66265,,,,,,0,723.59,33.66152,1,1,4.888,0.996,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['c1b0e1d0ab4121af086b5ca900cd3721'],2026-08-25T19:56:22.465389,2026-08-25T19:56:40.602046
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.76418,512,34.69567,29.34834,28.82204,349.40422,34.07348,,,,,,0,340.429,34.07236,1,1,1.136,0.404,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['237256a8ae8d7d7493ac3b2badeb46e2'],2026-08-25T19:56:40.602088,2026-08-25T19:56:58.367949
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.66371,512,34.49944,29.51935,28.98598,349.74518,33.87609,,,,,,0,340.734,33.87497,1,1,1.125,0.536,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['7fd113be1dae854eac6a7c09bfd023d6'],2026-08-25T19:56:58.367994,2026-08-25T19:57:16.033330
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.5866,512,34.34883,29.65281,29.11307,350.53041,33.72361,,,,,,0,341.473,33.72239,1,1,1.132,0.406,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['af7116cbe775f32c5f6f16d11404dc8e'],2026-08-25T19:57:16.033375,2026-08-25T19:57:33.621604
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,18.16152,512,35.47171,28.69317,28.19148,348.61657,34.8515,,,,,,0,339.194,34.85019,1,1,1.18,0.601,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['f5da70b41497cf854292ca60a6968a94'],2026-08-25T19:57:33.621650,2026-08-25T19:57:51.784801
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.58458,512,34.34487,29.6556,29.11643,350.15014,33.72044,,,,,,0,340.593,33.71929,1,1,1.158,0.39,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['0eddd702872a2d95eaf3d6b029ad16a8'],2026-08-25T19:57:51.784843,2026-08-25T19:58:09.371016
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.75212,512.0,34.6721,29.36942,28.84163,349.6893,34.04903,,,,,,0,340.4846,34.04784,1,1,1.1462,0.4674,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['237256a8ae8d7d7493ac3b2badeb46e2'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.58458,512,34.34487,29.6556,29.11643,348.61657,33.72044,,,,,,0,339.194,33.71929,1,1,1.125,0.39,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['237256a8ae8d7d7493ac3b2badeb46e2'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.66371,512.0,34.49944,29.51935,28.98598,349.74518,33.87609,,,,,,0,340.593,33.87497,1,1,1.136,0.406,8.61636,55.35636,32.54,3.81727,8.12273,3.48909,2.72909,5.08273,5.91545,2.49,1.93364,2.70818,6.86545,1.12091,1.58273,1.91091,2.00455,,,0.0,1339.77571,1447.35547,8413.05476,8671.19531,110,['237256a8ae8d7d7493ac3b2badeb46e2'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
