iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.77657,,,,,,,1002,512,18.16999,512,35.48826,29.50406,28.17833,842.88002,33.89364,,,,,,0,639.897,33.8924,1,1,4.968,0.807,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['c1b0e1d0ab4121af086b5ca900cd3721'],2026-08-25T20:00:21.322346,2026-08-25T20:00:39.494186
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.50402,512,34.18753,29.78709,29.25043,345.87888,33.57159,,,,,,0,336.916,33.57042,1,1,1.134,0.393,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['237256a8ae8d7d7493ac3b2badeb46e2'],2026-08-25T20:00:39.494238,2026-08-25T20:00:56.999950
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.49787,512,34.17553,29.80073,29.2607,347.2665,33.55623,,,,,,0,337.925,33.55498,1,1,1.154,0.558,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['7fd113be1dae854eac6a7c09bfd023d6'],2026-08-25T20:00:57,2026-08-25T20:01:14.499529
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.50101,512,34.18166,29.79167,29.25546,345.19724,33.56642,,,,,,0,335.906,33.56526,1,1,1.147,0.55,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['af7116cbe775f32c5f6f16d11404dc8e'],2026-08-25T20:01:14.499572,2026-08-25T20:01:32.002225
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.56462,512,34.3059,29.6879,29.1495,349.01644,33.68376,,,,,,0,339.094,33.68251,1,1,1.158,0.399,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['f5da70b41497cf854292ca60a6968a94'],2026-08-25T20:01:32.002269,2026-08-25T20:01:49.568580
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.54212,512,34.26196,29.72359,29.18689,347.15095,33.64332,,,,,,0,337.992,33.64205,1,1,1.165,0.414,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['0eddd702872a2d95eaf3d6b029ad16a8'],2026-08-25T20:01:49.568623,2026-08-25T20:02:07.112374
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.52193,512.0,34.22252,29.75813,29.22053,346.902,33.60426,,,,,,0,337.5666,33.60304,1,1,1.1516,0.4628,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['237256a8ae8d7d7493ac3b2badeb46e2'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.49787,512,34.17553,29.80073,29.2607,345.19724,33.55623,,,,,,0,335.906,33.55498,1,1,1.134,0.393,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['237256a8ae8d7d7493ac3b2badeb46e2'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.50402,512.0,34.18753,29.78709,29.25043,347.15095,33.57159,,,,,,0,337.925,33.57042,1,1,1.154,0.414,7.32936,85.00367,1.48624,11.94587,0.6156,0.95138,1.76881,1.55688,1.67248,1.63303,1.08165,1.00642,1.26422,1.09541,0.81009,1.18349,1.12294,,,0.0,1337.72975,1452.15625,8567.30512,8732.28906,109,['237256a8ae8d7d7493ac3b2badeb46e2'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
