iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.57362,,,,,,,1002,512,18.13408,512,35.41813,29.62664,28.23413,878.71756,33.7534,,,,,,0,678.455,33.75214,1,1,4.819,0.927,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['916653d06d67a8be2c7f9bf5bed8fbb9'],2026-08-25T20:08:15.231642,2026-08-25T20:08:33.367512
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.48401,512,34.14846,29.79577,29.2839,330.59875,33.56181,,,,,,0,320.872,33.56056,1,1,1.262,0.408,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['b02605bf46e99a1f04ea39a6016f5f42'],2026-08-25T20:08:33.367557,2026-08-25T20:08:50.853215
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.45566,512,34.09309,29.8433,29.33146,329.56197,33.50836,,,,,,0,320.464,33.50709,1,1,1.158,0.397,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['2ec8befc4e838521976df695c62ae908'],2026-08-25T20:08:50.853266,2026-08-25T20:09:08.310672
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.45638,512,34.09449,29.84525,29.33026,331.49369,33.50617,,,,,,0,322.507,33.50496,1,1,1.143,0.411,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['0b681aacd830853ecca40733a71b5c1a'],2026-08-25T20:09:08.310727,2026-08-25T20:09:25.768757
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.45134,512,34.08465,29.85323,29.33872,331.0959,33.49722,,,,,,0,321.964,33.49597,1,1,1.122,0.39,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['dab8422bde2e76c3538d6ca4be105fea'],2026-08-25T20:09:25.768802,2026-08-25T20:09:43.221779
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.50081,512,34.18128,29.77145,29.25578,333.33588,33.58923,,,,,,0,324.046,33.58796,1,1,1.125,0.532,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['21fdbd23004a586d544f6d99a9e28271'],2026-08-25T20:09:43.221824,2026-08-25T20:10:00.724285
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.46964,512.0,34.12039,29.82176,29.30799,331.21724,33.53256,,,,,,0,321.9706,33.53131,1,1,1.162,0.4276,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['b02605bf46e99a1f04ea39a6016f5f42'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.45134,512,34.08465,29.85323,29.33872,329.56197,33.49722,,,,,,0,320.464,33.49597,1,1,1.122,0.39,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['b02605bf46e99a1f04ea39a6016f5f42'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.45638,512.0,34.09449,29.8433,29.33026,331.0959,33.50836,,,,,,0,321.964,33.50709,1,1,1.143,0.408,6.93394,90.64862,6.24771,2.10183,0.44862,0.84404,1.09633,1.33028,1.3422,1.42661,1.03761,1.20275,0.67248,0.47982,0.54679,0.59908,0.7789,,,0.0,1303.45366,1403.90234,8516.34755,8707.53516,109,['b02605bf46e99a1f04ea39a6016f5f42'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
