iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.81847,,,,,,,1002,512,18.15032,512,35.44984,29.62064,28.20887,891.67222,33.76024,,,,,,0,688.02,33.75901,1,1,4.954,0.702,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['916653d06d67a8be2c7f9bf5bed8fbb9'],2026-08-25T20:12:12.136848,2026-08-25T20:12:30.288983
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.49507,512,34.17006,29.77352,29.26539,328.81137,33.58689,,,,,,0,320.127,33.58574,1,1,1.173,0.569,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['b02605bf46e99a1f04ea39a6016f5f42'],2026-08-25T20:12:30.289029,2026-08-25T20:12:47.785783
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.45861,512,34.09885,29.84022,29.3265,330.89897,33.51182,,,,,,0,321.993,33.51065,1,1,1.178,0.396,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['2ec8befc4e838521976df695c62ae908'],2026-08-25T20:12:47.785828,2026-08-25T20:13:05.246074
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.48189,512,34.14431,29.79977,29.28745,330.79846,33.5573,,,,,,0,321.555,33.55612,1,1,1.219,0.415,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['0b681aacd830853ecca40733a71b5c1a'],2026-08-25T20:13:05.246129,2026-08-25T20:13:22.729656
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.51655,512,34.21201,29.7376,29.2295,329.80732,33.62746,,,,,,0,320.623,33.62629,1,1,1.126,0.399,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['dab8422bde2e76c3538d6ca4be105fea'],2026-08-25T20:13:22.729700,2026-08-25T20:13:40.247886
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.52115,512,34.221,29.73152,29.22182,330.88792,33.63433,,,,,,0,322.022,33.63315,1,1,1.122,0.393,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['21fdbd23004a586d544f6d99a9e28271'],2026-08-25T20:13:40.247934,2026-08-25T20:13:57.770736
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.49465,512.0,34.16925,29.77647,29.26608,330.24081,33.58356,,,,,,0,321.264,33.58239,1,1,1.1636,0.4344,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['b02605bf46e99a1f04ea39a6016f5f42'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,17.45861,512,34.09885,29.84022,29.3265,328.81138,33.51182,,,,,,0,320.127,33.51065,1,1,1.122,0.393,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['b02605bf46e99a1f04ea39a6016f5f42'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,17.49507,512.0,34.17006,29.77352,29.26539,330.79846,33.58689,,,,,,0,321.555,33.58574,1,1,1.173,0.399,7.16055,86.57064,10.2633,1.58899,0.79083,1.4,2.26147,1.69633,1.48073,1.08991,1.17523,1.1,1.45596,1.02752,1.36972,0.5945,0.58349,,,0.0,1305.95194,1417.91406,8558.47638,8763.67578,109,['b02605bf46e99a1f04ea39a6016f5f42'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd_tokens_throughput: batch_size * 1000 / 2nd_avg_latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_throughput: output_size / generation_time(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
