iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,4.77064,,,,,,,1002,512,17.27775,512,33.74561,30.69997,29.63348,625.40254,32.57332,,,,,,0,426.754,32.57212,1,1,4.89,0.799,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['c20b920da9b1dd629756f9f03741d10a'],2026-08-25T20:10:15.384899,2026-08-25T20:10:32.664473
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.82147,512,32.85443,30.87497,30.4373,267.46603,32.3887,,,,,,0,258.026,32.38751,1,1,1.111,0.562,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['ba4cf61bf2333b4466739b610a576c63'],2026-08-25T20:10:32.664521,2026-08-25T20:10:49.487721
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.91943,512,33.04576,30.69025,30.26106,265.9746,32.58364,,,,,,0,256.775,32.58235,1,1,1.119,0.378,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['8d466e9cd71612b71c031dba0c4827a4'],2026-08-25T20:10:49.487767,2026-08-25T20:11:06.408818
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.86438,512,32.93825,30.78793,30.35984,263.84578,32.48026,,,,,,0,254.664,32.47894,1,1,1.132,0.382,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['d562a807feb970f9101c18f438c5cb21'],2026-08-25T20:11:06.408873,2026-08-25T20:11:23.274869
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.842,512,32.89453,30.82959,30.40019,263.68921,32.43637,,,,,,0,254.691,32.43505,1,1,1.172,0.54,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['af07dd010a9e3a391156223bb5dc3749'],2026-08-25T20:11:23.274918,2026-08-25T20:11:40.118536
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.84569,512,32.90174,30.8291,30.39353,266.98253,32.43688,,,,,,0,257.673,32.43559,1,1,1.127,0.697,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['b7c25d0ce203f54a806d63bd31091783'],2026-08-25T20:11:40.118578,2026-08-25T20:11:56.965874
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.85859,512.0,32.92694,30.80224,30.37027,265.59163,32.46517,,,,,,0,256.3658,32.46389,1,1,1.1322,0.5118,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['ba4cf61bf2333b4466739b610a576c63'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.82147,512,32.85443,30.87497,30.4373,263.68921,32.3887,,,,,,0,254.664,32.38751,1,1,1.111,0.378,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['ba4cf61bf2333b4466739b610a576c63'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.84569,512.0,32.90174,30.8291,30.39353,265.9746,32.43688,,,,,,0,256.775,32.43559,1,1,1.127,0.54,7.31154,59.80385,18.72019,10.34519,11.33269,1.38077,1.75481,1.35288,1.69423,1.94423,1.34904,1.21827,1.60962,1.08558,1.08942,1.22788,0.87019,,,0.0,1297.31532,1305.20703,8476.30867,8584.21875,104,['ba4cf61bf2333b4466739b610a576c63'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd_tokens_throughput: batch_size * 1000 / 2nd_avg_latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_throughput: output_size / generation_time(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_time: Time for one interaction. (e.g. The duration of  answering one question or generating one picture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iteration=0: warm-up; iteration=avg: average (exclude warm-up);iteration=mini: minimum value (exclude warm-up);iteration=median: median value (exclude warm-up);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rss_mem/max_sys_mem: max rss/system memory consumption during iteration;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_increase_rss_mem/max_increase_sys_mem: max increase of rss/system memory during iteration;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_rss_mem/initial_sys_mem: rss/system memory state at start;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compile_max_rss_mem/compile_max_sys_mem: max rss/system memory consumption on compilation phase;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compile_max_increase_rss_mem/compile_max_increase_sys_mem: max increase of rss/system memory on compilation phase;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_* fields: compact whole-run CPU/GPU/NPU utilization and RSS/System memory summary; GPU util is blank if xpu-smi does not expose compute utilization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_cpu_cpuN_avg_util: average per-core CPU utilization over the benchmark run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_gpu_memory_avg_util: average GPU memory utilization reported by xpu-smi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
