iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,4.76296,,,,,,,1002,512,17.23819,512,33.66834,30.79771,29.70149,638.48898,32.46995,,,,,,0,439.239,32.46897,1,1,4.926,0.931,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['fa58ba09f6d292f155ecf6dc7f170c42'],2026-08-25T20:06:18.762390,2026-08-25T20:06:36.002362
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.82145,512,32.85439,30.8895,30.43733,275.59203,32.37346,,,,,,0,265.948,32.37242,1,1,1.089,0.386,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['78a3576c0b8535c2ffd65d98715c03e1'],2026-08-25T20:06:36.002405,2026-08-25T20:06:52.825523
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.85712,512,32.92406,30.81833,30.37293,272.8817,32.44822,,,,,,0,263.752,32.4472,1,1,1.128,0.397,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['4e22b20f3c8a18f51da660ec2122034f'],2026-08-25T20:06:52.825573,2026-08-25T20:07:09.684306
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.87083,512,32.95084,30.79317,30.34824,273.19752,32.47473,,,,,,0,263.797,32.47371,1,1,1.114,0.384,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['68ec591eb6817f7e4c103bbcc50cfe00'],2026-08-25T20:07:09.684351,2026-08-25T20:07:26.556822
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.86658,512,32.94255,30.80027,30.35588,272.50462,32.46724,,,,,,0,263.478,32.4662,1,1,1.114,0.546,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['8a37da367ce6455556a0728341bc1dd1'],2026-08-25T20:07:26.556865,2026-08-25T20:07:43.425064
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.90033,512,33.00846,30.7457,30.29526,276.80703,32.52487,,,,,,0,267.339,32.52374,1,1,1.167,0.517,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['b1514d2a6dfbad4415c0cd4b4513c554'],2026-08-25T20:07:43.425108,2026-08-25T20:08:00.327072
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.86326,512.0,32.93606,30.80932,30.36186,274.19658,32.45771,,,,,,0,264.8628,32.45665,1,1,1.1224,0.446,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['78a3576c0b8535c2ffd65d98715c03e1'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.82145,512,32.85439,30.8895,30.43733,272.50462,32.37346,,,,,,0,263.478,32.37242,1,1,1.089,0.384,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['78a3576c0b8535c2ffd65d98715c03e1'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.86658,512.0,32.94255,30.80027,30.35588,273.19752,32.46724,,,,,,0,263.797,32.4662,1,1,1.114,0.397,6.90962,66.27981,30.54519,2.15,0.75288,0.95,0.92885,0.825,0.80962,1.15962,0.7625,0.77212,1.18654,0.92885,0.48365,1.27692,1.54808,,,0.0,1296.08136,1712.47656,8462.5705,8640.57812,104,['78a3576c0b8535c2ffd65d98715c03e1'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd_tokens_throughput: batch_size * 1000 / 2nd_avg_latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_throughput: output_size / generation_time(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_time: Time for one interaction. (e.g. The duration of  answering one question or generating one picture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iteration=0: warm-up; iteration=avg: average (exclude warm-up);iteration=mini: minimum value (exclude warm-up);iteration=median: median value (exclude warm-up);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rss_mem/max_sys_mem: max rss/system memory consumption during iteration;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_increase_rss_mem/max_increase_sys_mem: max increase of rss/system memory during iteration;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_rss_mem/initial_sys_mem: rss/system memory state at start;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compile_max_rss_mem/compile_max_sys_mem: max rss/system memory consumption on compilation phase;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compile_max_increase_rss_mem/compile_max_increase_sys_mem: max increase of rss/system memory on compilation phase;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_* fields: compact whole-run CPU/GPU/NPU utilization and RSS/System memory summary; GPU util is blank if xpu-smi does not expose compute utilization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_cpu_cpuN_avg_util: average per-core CPU utilization over the benchmark run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_gpu_memory_avg_util: average GPU memory utilization reported by xpu-smi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
