iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,4.81394,,,,,,,1002,512,17.32643,512,33.84069,30.62434,29.55022,632.88352,32.65376,,,,,,0,430.6,32.65264,1,1,4.79,1.017,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['557152c5378efe862323811a5e69fb42'],2026-08-25T20:02:21.229567,2026-08-25T20:02:38.557777
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.90799,512,33.02342,30.75843,30.28154,291.22186,32.51141,,,,,,0,281.544,32.51023,1,1,1.15,0.419,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['c509689a7397742f13652fb3efb0d682'],2026-08-25T20:02:38.557822,2026-08-25T20:02:55.467458
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.92522,512,33.05708,30.72255,30.25071,289.40041,32.54939,,,,,,0,280.346,32.54826,1,1,1.167,0.367,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['b831a5d98d6c96ffd74286b4c4d34a18'],2026-08-25T20:02:55.467503,2026-08-25T20:03:12.394337
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.97021,512,33.14494,30.63533,30.17052,286.83577,32.64205,,,,,,0,277.71,32.64085,1,1,1.119,0.515,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['87369b116b671e31ad9c6fd05896ff89'],2026-08-25T20:03:12.394394,2026-08-25T20:03:29.366185
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.97422,512,33.15277,30.6322,30.1634,289.15487,32.64538,,,,,,0,280.144,32.64423,1,1,1.111,0.565,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['b2ef87477a186780f8fabfc2e20b4e0a'],2026-08-25T20:03:29.366227,2026-08-25T20:03:46.342113
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.92392,512,33.05453,30.72759,30.25304,290.56335,32.54404,,,,,,0,281.636,32.54288,1,1,1.129,0.539,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['2c82f67a9073b5e6e19857c7c048d623'],2026-08-25T20:03:46.342156,2026-08-25T20:04:03.267679
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.94031,512.0,33.08655,30.69513,30.22376,289.43525,32.57845,,,,,,0,280.276,32.57729,1,1,1.1352,0.481,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['c509689a7397742f13652fb3efb0d682'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.90799,512,33.02342,30.75843,30.28154,286.83577,32.51141,,,,,,0,277.71,32.51023,1,1,1.111,0.367,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['c509689a7397742f13652fb3efb0d682'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.92522,512.0,33.05708,30.72255,30.25071,289.40041,32.54939,,,,,,0,280.346,32.54826,1,1,1.129,0.515,7.22476,59.80762,32.25714,4.72571,3.42381,1.06857,1.60571,1.28095,1.09143,1.51524,1.44,1.3219,1.3581,0.98857,1.09333,0.92476,1.49429,,,0.0,1297.59323,1540.37109,8448.10175,8626.50391,105,['c509689a7397742f13652fb3efb0d682'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
