iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,4.96624,,,,,,,1002,512,17.66661,512,34.50509,30.09786,28.98123,680.67846,33.22495,,,,,,0,430.652,33.2237,1,1,4.904,1.038,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['557152c5378efe862323811a5e69fb42'],2026-08-25T19:58:23.738633,2026-08-25T19:58:41.407037
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,17.0238,512,33.24962,30.5449,30.07553,290.99907,32.73869,,,,,,0,281.944,32.73741,1,1,1.127,0.546,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['c509689a7397742f13652fb3efb0d682'],2026-08-25T19:58:41.407082,2026-08-25T19:58:58.432589
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.96873,512,33.14205,30.65072,30.17315,293.51828,32.62566,,,,,,0,284.032,32.6244,1,1,1.151,0.535,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['b831a5d98d6c96ffd74286b4c4d34a18'],2026-08-25T19:58:58.432634,2026-08-25T19:59:15.402984
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.92389,512,33.05448,30.72558,30.25308,289.53243,32.54617,,,,,,0,280.557,32.54495,1,1,1.145,0.522,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['87369b116b671e31ad9c6fd05896ff89'],2026-08-25T19:59:15.403037,2026-08-25T19:59:32.328539
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.93218,512,33.07067,30.71227,30.23828,290.57028,32.56027,,,,,,0,281.146,32.55903,1,1,1.107,0.521,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['b2ef87477a186780f8fabfc2e20b4e0a'],2026-08-25T19:59:32.328580,2026-08-25T19:59:49.262477
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.96496,512,33.1347,30.65395,30.17985,291.69552,32.62222,,,,,,0,282.719,32.62089,1,1,1.128,0.521,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['2c82f67a9073b5e6e19857c7c048d623'],2026-08-25T19:59:49.262518,2026-08-25T20:00:06.229102
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.96272,512.0,33.1303,30.65735,30.18385,291.26311,32.6186,,,,,,0,282.0796,32.61734,1,1,1.1316,0.529,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['c509689a7397742f13652fb3efb0d682'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.92389,512,33.05448,30.72558,30.25308,289.53243,32.54617,,,,,,0,280.557,32.54495,1,1,1.107,0.521,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['c509689a7397742f13652fb3efb0d682'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.96496,512.0,33.1347,30.65395,30.17985,290.99907,32.62222,,,,,,0,281.944,32.62089,1,1,1.128,0.522,7.3219,22.79524,46.75238,16.05048,1.38571,6.57619,1.40476,8.6981,1.44857,1.47238,0.84286,1.24571,1.1419,2.03048,1.4,0.91714,1.16857,,,0.0,1292.90484,1379.89453,8478.34888,8657.02734,105,['c509689a7397742f13652fb3efb0d682'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
