iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,4.85354,,,,,,,1002,512,17.23079,512,33.65388,30.79596,29.71426,630.01886,32.47179,,,,,,0,433.264,32.47052,1,1,5.047,0.907,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['557152c5378efe862323811a5e69fb42'],2026-08-25T19:54:24.932008,2026-08-25T19:54:42.164602
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.85718,512,32.92417,30.85452,30.37282,292.27472,32.41017,,,,,,0,282.695,32.40896,1,1,1.108,0.542,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['c509689a7397742f13652fb3efb0d682'],2026-08-25T19:54:42.164645,2026-08-25T19:54:59.023506
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.91936,512,33.04562,30.73879,30.26119,292.26899,32.53218,,,,,,0,283.183,32.53094,1,1,1.1,0.379,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['b831a5d98d6c96ffd74286b4c4d34a18'],2026-08-25T19:54:59.023548,2026-08-25T19:55:15.944548
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.98904,512,33.18172,30.60832,30.13708,291.07772,32.67085,,,,,,0,282.225,32.66964,1,1,1.193,0.359,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['87369b116b671e31ad9c6fd05896ff89'],2026-08-25T19:55:15.944602,2026-08-25T19:55:32.935268
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,17.01609,512,33.23456,30.56302,30.08916,293.38187,32.71928,,,,,,0,284.236,32.71802,1,1,1.126,0.381,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['b2ef87477a186780f8fabfc2e20b4e0a'],2026-08-25T19:55:32.935314,2026-08-25T19:55:49.953047
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.97665,512,33.15753,30.6347,30.15906,292.87872,32.64272,,,,,,0,283.579,32.6415,1,1,1.142,0.384,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['2c82f67a9073b5e6e19857c7c048d623'],2026-08-25T19:55:49.953092,2026-08-25T19:56:06.931388
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.95166,512.0,33.10872,30.67952,30.20352,292.37641,32.59504,,,,,,0,283.1836,32.59381,1,1,1.1338,0.409,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['c509689a7397742f13652fb3efb0d682'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.85718,512,32.92417,30.85452,30.37282,291.07772,32.41017,,,,,,0,282.225,32.40896,1,1,1.1,0.359,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['c509689a7397742f13652fb3efb0d682'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,16.97665,512.0,33.15753,30.6347,30.15906,292.27472,32.64272,,,,,,0,283.183,32.6415,1,1,1.126,0.381,7.15238,76.82381,19.71238,1.06952,1.79524,1.16571,1.41429,1.47429,1.37905,1.21143,2.12857,1.08762,1.4,0.83238,0.60857,1.06667,1.14762,,,0.0,1302.41518,1568.89844,8227.69736,8414.74609,105,['c509689a7397742f13652fb3efb0d682'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
