iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,4.96426,,,,,,,1002,512,17.39868,512,33.98179,30.53349,29.42753,655.3323,32.75092,,,,,,0,454.158,32.74984,1,1,4.991,0.959,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['557152c5378efe862323811a5e69fb42'],2026-08-25T19:50:00.022980,2026-08-25T19:50:17.423461
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,17.01285,512,33.22822,30.59537,30.0949,307.75239,32.68469,,,,,,0,298.555,32.68351,1,1,1.144,0.392,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['c509689a7397742f13652fb3efb0d682'],2026-08-25T19:50:17.423504,2026-08-25T19:50:34.438059
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,17.0464,512,33.29375,30.5364,30.03567,308.94425,32.74781,,,,,,0,300.133,32.74664,1,1,1.121,0.51,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['b831a5d98d6c96ffd74286b4c4d34a18'],2026-08-25T19:50:34.438106,2026-08-25T19:50:51.486145
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,17.07492,512,33.34946,30.48664,29.98549,310.1752,32.80125,,,,,,0,301.19,32.80014,1,1,1.12,0.544,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['87369b116b671e31ad9c6fd05896ff89'],2026-08-25T19:50:51.486197,2026-08-25T19:51:08.562797
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,17.00142,512,33.2059,30.61691,30.11513,308.17371,32.66169,,,,,,0,299.222,32.6605,1,1,1.121,0.405,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['b2ef87477a186780f8fabfc2e20b4e0a'],2026-08-25T19:51:08.562839,2026-08-25T19:51:25.565901
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.99725,512,33.19774,30.62347,30.12253,307.44236,32.6547,,,,,,0,298.297,32.65353,1,1,1.13,0.386,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['2c82f67a9073b5e6e19857c7c048d623'],2026-08-25T19:51:25.565953,2026-08-25T19:51:42.564818
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,17.02657,512.0,33.25501,30.57166,30.07065,308.49758,32.71003,,,,,,0,299.4794,32.70887,1,1,1.1272,0.4474,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['c509689a7397742f13652fb3efb0d682'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,16.99725,512,33.19774,30.62347,30.12253,307.44236,32.6547,,,,,,0,298.297,32.65353,1,1,1.12,0.386,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['c509689a7397742f13652fb3efb0d682'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,17.01285,512.0,33.22822,30.59537,30.0949,308.17371,32.68469,,,,,,0,299.222,32.68351,1,1,1.121,0.405,7.41714,59.19238,16.6419,11.70667,11.55619,1.98667,3.06952,2.38571,2.03524,1.81333,2.29619,2.20667,1.52286,1.07238,0.56952,0.6619,0.84286,,,0.0,1306.60182,1666.35547,8264.34483,8504.78516,105,['c509689a7397742f13652fb3efb0d682'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
