iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.77767,,,,,,,1002,512,22.02437,512,43.01635,24.49391,23.24698,1155.74398,40.82648,,,,,,0,931.814,40.04799,1,1,4.861,0.975,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['ddc2eb20b72139ce240e897cd7706c2f'],2026-08-25T20:21:23.656991,2026-08-25T20:21:45.683181
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.30939,512,41.61989,24.59017,24.02697,526.40254,40.66666,,,,,,0,519.737,39.88755,1,1,1.252,0.614,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['cb822cd749d9dd327a64e7a856002bde'],2026-08-25T20:21:45.683227,2026-08-25T20:22:06.994340
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.08847,512,41.18841,24.85465,24.27867,526.55172,40.23393,,,,,,0,519.391,39.45629,1,1,1.158,0.743,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['863ba7abbac336b2c41bbe7a092e6dd9'],2026-08-25T20:22:06.994382,2026-08-25T20:22:28.084441
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.15081,512,41.31018,24.77589,24.20711,523.72114,40.36182,,,,,,0,517.244,39.60933,1,1,1.156,0.598,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['1cda118b041dc2be99f6973949e02315'],2026-08-25T20:22:28.084483,2026-08-25T20:22:49.236964
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.20996,512,41.4257,24.70576,24.1396,524.49102,40.47639,,,,,,0,517.843,39.68658,1,1,1.154,0.495,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['558ed03bb7cc38b5def0e8038b389a31'],2026-08-25T20:22:49.237007,2026-08-25T20:23:10.448603
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.29876,512,41.59914,24.6006,24.03896,524.62437,40.64942,,,,,,0,517.765,39.85374,1,1,1.152,0.75,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['aa589fe00fbab9930fbf411e8713fbd6'],2026-08-25T20:23:10.448645,2026-08-25T20:23:31.749030
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,21.21148,512.0,41.42867,24.705,24.13788,525.15816,40.47764,,,,,,0,518.396,39.6987,1,1,1.1744,0.64,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['cb822cd749d9dd327a64e7a856002bde'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.08847,512,41.18841,24.85465,24.27867,523.72114,40.23393,,,,,,0,517.244,39.45629,1,1,1.152,0.495,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['cb822cd749d9dd327a64e7a856002bde'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,21.20996,512.0,41.4257,24.70576,24.1396,524.62437,40.47639,,,,,,0,517.843,39.68658,1,1,1.156,0.614,7.02748,3.77023,1.69466,2.3626,1.47557,1.68473,1.49542,1.68015,0.99618,0.51145,52.99466,37.7229,0.49695,1.77099,0.87023,1.4458,1.25649,,,0.0,1339.45163,1351.05859,8622.92775,8771.82812,131,['cb822cd749d9dd327a64e7a856002bde'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd_tokens_throughput: batch_size * 1000 / 2nd_avg_latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_throughput: output_size / generation_time(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
