iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.76515,,,,,,,1002,512,21.89889,512,42.77126,24.59955,23.38018,1119.85204,40.65115,,,,,,0,918.118,39.91506,1,1,4.839,0.981,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['ddc2eb20b72139ce240e897cd7706c2f'],2026-08-25T20:26:04.314142,2026-08-25T20:26:26.214833
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.11788,512,41.24586,24.79549,24.24486,507.11566,40.32991,,,,,,0,500.236,39.5751,1,1,1.134,0.604,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['cb822cd749d9dd327a64e7a856002bde'],2026-08-25T20:26:26.214880,2026-08-25T20:26:47.334461
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.08863,512,41.18873,24.82613,24.27849,503.06052,40.28014,,,,,,0,495.834,39.53584,1,1,1.165,0.8,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['863ba7abbac336b2c41bbe7a092e6dd9'],2026-08-25T20:26:47.334507,2026-08-25T20:27:08.424717
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.13793,512,41.28502,24.76451,24.22186,501.32745,40.38036,,,,,,0,494.647,39.66526,1,1,1.172,0.606,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['1cda118b041dc2be99f6973949e02315'],2026-08-25T20:27:08.424759,2026-08-25T20:27:29.564319
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.024,512,41.06249,24.89829,24.35312,498.28859,40.1634,,,,,,0,491.832,39.46455,1,1,1.226,0.557,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['558ed03bb7cc38b5def0e8038b389a31'],2026-08-25T20:27:29.564362,2026-08-25T20:27:50.589971
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.69602,512,40.42192,25.30343,24.73905,499.1385,39.52034,,,,,,0,492.496,38.7419,1,1,1.165,0.448,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['aa589fe00fbab9930fbf411e8713fbd6'],2026-08-25T20:27:50.590015,2026-08-25T20:28:11.287719
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,21.01289,512.0,41.0408,24.91601,24.366,501.78614,40.13483,,,,,,0,495.009,39.39653,1,1,1.1724,0.603,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['cb822cd749d9dd327a64e7a856002bde'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.69602,512,40.42192,25.30343,24.73905,498.28859,39.52034,,,,,,0,491.832,38.7419,1,1,1.134,0.448,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['cb822cd749d9dd327a64e7a856002bde'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,21.08863,512.0,41.18873,24.82613,24.27849,501.32745,40.28014,,,,,,0,494.647,39.53584,1,1,1.165,0.604,6.79077,6.61769,1.27923,0.67,7.52846,0.96231,1.24923,8.49769,25.15385,0.69231,51.95615,0.88846,0.77154,0.96231,0.62692,0.93462,0.51308,,,0.0,1339.31992,1350.52344,8593.93248,8717.57422,130,['cb822cd749d9dd327a64e7a856002bde'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
