iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.81661,,,,,,,1002,512,22.41471,512,43.77874,23.92678,22.84214,1051.38775,41.79417,,,,,,0,863.501,41.07082,1,1,4.883,1.133,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['ddc2eb20b72139ce240e897cd7706c2f'],2026-08-25T20:30:42.121733,2026-08-25T20:31:04.538263
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,21.62469,512,42.23571,24.17199,23.67664,481.90178,41.3702,,,,,,0,475.245,40.5936,1,1,1.201,0.866,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['cb822cd749d9dd327a64e7a856002bde'],2026-08-25T20:31:04.538307,2026-08-25T20:31:26.164639
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.68219,512,40.39491,25.2992,24.75559,481.79704,39.52694,,,,,,0,475.025,38.7453,1,1,1.161,0.603,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['863ba7abbac336b2c41bbe7a092e6dd9'],2026-08-25T20:31:26.164683,2026-08-25T20:31:46.848476
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,19.75097,512,38.5761,26.52215,25.92278,481.78237,37.70433,,,,,,0,475.226,36.94208,1,1,1.158,0.745,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['1cda118b041dc2be99f6973949e02315'],2026-08-25T20:31:46.848520,2026-08-25T20:32:06.601159
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,19.79332,512,38.65884,26.46377,25.86731,481.63089,37.78751,,,,,,0,475.266,37.00964,1,1,1.146,0.765,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['558ed03bb7cc38b5def0e8038b389a31'],2026-08-25T20:32:06.601202,2026-08-25T20:32:26.396189
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.033,512,39.12696,26.1394,25.55783,482.02531,38.25643,,,,,,0,475.794,37.47778,1,1,1.139,0.439,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['aa589fe00fbab9930fbf411e8713fbd6'],2026-08-25T20:32:26.396232,2026-08-25T20:32:46.430889
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,20.37683,512.0,39.7985,25.68774,25.12657,481.82748,38.92908,,,,,,0,475.3112,38.15368,1,1,1.161,0.6836,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['cb822cd749d9dd327a64e7a856002bde'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,19.75097,512,38.5761,26.52215,25.92278,481.63089,37.70433,,,,,,0,475.025,36.94208,1,1,1.139,0.439,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['cb822cd749d9dd327a64e7a856002bde'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,20.033,512.0,39.12696,26.1394,25.55783,481.79704,38.25643,,,,,,0,475.245,37.47778,1,1,1.158,0.745,6.77323,6.37008,33.69606,13.39055,1.63307,3.34567,0.6685,0.77953,42.19843,0.7378,0.88189,1.1874,1.08819,0.8874,0.50472,0.48583,0.27953,,,0.0,1336.95116,1348.92188,8603.48062,8722.79688,127,['cb822cd749d9dd327a64e7a856002bde'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd_tokens_throughput: batch_size * 1000 / 2nd_avg_latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_throughput: output_size / generation_time(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_time: Time for one interaction. (e.g. The duration of  answering one question or generating one picture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iteration=0: warm-up; iteration=avg: average (exclude warm-up);iteration=mini: minimum value (exclude warm-up);iteration=median: median value (exclude warm-up);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rss_mem/max_sys_mem: max rss/system memory consumption during iteration;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_increase_rss_mem/max_increase_sys_mem: max increase of rss/system memory during iteration;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_rss_mem/initial_sys_mem: rss/system memory state at start;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compile_max_rss_mem/compile_max_sys_mem: max rss/system memory consumption on compilation phase;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compile_max_increase_rss_mem/compile_max_increase_sys_mem: max increase of rss/system memory on compilation phase;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_* fields: compact whole-run CPU/GPU/NPU utilization and RSS/System memory summary; GPU util is blank if xpu-smi does not expose compute utilization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_cpu_cpuN_avg_util: average per-core CPU utilization over the benchmark run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_gpu_memory_avg_util: average GPU memory utilization reported by xpu-smi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
