iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,4.84627,,,,,,,1002,512,21.03569,512,41.08534,25.35887,24.33958,878.65604,39.43393,,,,,,0,643.263,38.66704,1,1,4.858,1.004,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['336085cfc438c019fa8a3219e9272788'],2026-08-25T20:28:25.664404,2026-08-25T20:28:46.701940
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.17397,512,37.44916,27.26471,26.70287,429.50391,36.67745,,,,,,0,422.63,35.89343,1,1,1.177,0.676,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['e266acde069b03e3218b2134aea74b10'],2026-08-25T20:28:46.701984,2026-08-25T20:29:05.877600
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.29106,512,37.67786,27.09017,26.54079,425.94059,36.91375,,,,,,0,419.444,36.13595,1,1,1.131,0.675,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['6e319ad7a3dad4d94f83dc241e15e943'],2026-08-25T20:29:05.877643,2026-08-25T20:29:25.170328
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,20.36421,512,39.77384,25.62952,25.14215,424.16313,39.01751,,,,,,0,417.964,38.2248,1,1,1.148,0.585,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['c4e75e7ef06f0213295afe4b2df8d7ae'],2026-08-25T20:29:25.170369,2026-08-25T20:29:45.536188
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,20.25136,512,39.55343,25.77634,25.28226,425.06182,38.79526,,,,,,0,418.817,38.00954,1,1,1.141,0.414,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['aaa1224c47ca7639deebcc22ea949d39'],2026-08-25T20:29:45.536229,2026-08-25T20:30:05.789187
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,20.39852,512,39.84087,25.58552,25.09986,424.3632,39.08461,,,,,,0,418.058,38.29476,1,1,1.157,0.401,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['35cde01e6b12242aa582e68740c0d6e0'],2026-08-25T20:30:05.789230,2026-08-25T20:30:26.189363
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,19.89582,512.0,38.85903,26.24829,25.73404,425.80653,38.09772,,,,,,0,419.3826,37.3117,1,1,1.1508,0.5502,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['e266acde069b03e3218b2134aea74b10'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.17397,512,37.44916,27.26471,26.70287,424.16313,36.67745,,,,,,0,417.964,35.89343,1,1,1.131,0.401,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['e266acde069b03e3218b2134aea74b10'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,20.25136,512.0,39.55343,25.77634,25.28226,425.06182,38.79526,,,,,,0,418.817,38.00954,1,1,1.148,0.585,6.90244,8.91382,17.29187,13.15854,0.62276,45.79756,0.93496,0.97073,0.82114,1.01463,0.96992,0.78455,14.23659,0.59675,1.05041,0.7561,0.7748,,,0.0,1263.07082,1270.63281,8484.72205,8604.13672,123,['e266acde069b03e3218b2134aea74b10'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
