iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,5.02747,,,,,,,1002,512,20.49206,512,40.02356,26.13714,24.98528,934.8699,38.25973,,,,,,0,684.185,37.4406,1,1,4.939,1.055,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['336085cfc438c019fa8a3219e9272788'],2026-08-25T20:19:11.762671,2026-08-25T20:19:32.256626
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.33431,512,37.76232,27.09099,26.48143,469.7977,36.91264,,,,,,0,463.552,36.15325,1,1,1.185,0.604,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['e266acde069b03e3218b2134aea74b10'],2026-08-25T20:19:32.256671,2026-08-25T20:19:51.592610
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.20409,512,37.50798,27.2746,26.66099,466.63354,36.66414,,,,,,0,460.099,35.92184,1,1,1.155,0.507,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['6e319ad7a3dad4d94f83dc241e15e943'],2026-08-25T20:19:51.592654,2026-08-25T20:20:10.798358
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.2861,512,37.66816,27.15859,26.54762,468.63054,36.82076,,,,,,0,462.257,36.06103,1,1,1.128,0.557,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['c4e75e7ef06f0213295afe4b2df8d7ae'],2026-08-25T20:20:10.798397,2026-08-25T20:20:30.086128
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.28473,512,37.66548,27.15915,26.54951,467.57559,36.82001,,,,,,0,461.226,36.07516,1,1,1.181,0.583,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['aaa1224c47ca7639deebcc22ea949d39'],2026-08-25T20:20:30.086168,2026-08-25T20:20:49.372541
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.28543,512,37.66686,27.15941,26.54854,468.71826,36.81965,,,,,,0,462.263,36.06583,1,1,1.125,0.406,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['35cde01e6b12242aa582e68740c0d6e0'],2026-08-25T20:20:49.372587,2026-08-25T20:21:08.659658
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,19.27893,512.0,37.65416,27.16842,26.55749,468.27113,36.80744,,,,,,0,461.8794,36.05542,1,1,1.1548,0.5314,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['e266acde069b03e3218b2134aea74b10'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.20409,512,37.50798,27.2746,26.66099,466.63354,36.66414,,,,,,0,460.099,35.92184,1,1,1.125,0.406,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['e266acde069b03e3218b2134aea74b10'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,19.28543,512.0,37.66686,27.15915,26.54854,468.63054,36.82001,,,,,,0,462.257,36.06583,1,1,1.155,0.557,7.20252,15.90588,44.46387,18.54538,14.67731,1.25042,1.77143,1.37983,1.68403,1.62437,1.44874,1.31008,4.40924,2.83697,1.42857,1.01765,1.15966,,,0.0,1268.14545,1276.15625,8510.24688,8645.21484,119,['e266acde069b03e3218b2134aea74b10'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
