iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4-g128,ov,GPU,5.95854,,,,,,,1002,512,21.48455,512,41.96202,25.13679,23.83108,1149.37624,39.78233,,,,,,0,897.729,39.00683,1,1,4.822,1.072,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['ddc2eb20b72139ce240e897cd7706c2f'],2026-08-25T20:16:55.445567,2026-08-25T20:17:16.931923
1,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.14007,512,39.33608,26.06527,25.42195,533.05342,38.36522,,,,,,0,526.369,37.57646,1,1,1.257,0.736,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['cb822cd749d9dd327a64e7a856002bde'],2026-08-25T20:17:16.931969,2026-08-25T20:17:37.073671
2,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.03675,512,39.13428,26.19728,25.55304,528.81395,38.1719,,,,,,0,522.108,37.41408,1,1,1.269,0.435,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['863ba7abbac336b2c41bbe7a092e6dd9'],2026-08-25T20:17:37.073715,2026-08-25T20:17:57.112122
3,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.06369,512,39.18689,26.16424,25.51874,531.00558,38.2201,,,,,,0,524.359,37.45906,1,1,1.228,0.601,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['1cda118b041dc2be99f6973949e02315'],2026-08-25T20:17:57.112167,2026-08-25T20:18:17.177472
4,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.09596,512,39.24992,26.12162,25.47776,531.63669,38.28247,,,,,,0,524.543,37.51147,1,1,1.16,0.438,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['558ed03bb7cc38b5def0e8038b389a31'],2026-08-25T20:18:17.177513,2026-08-25T20:18:37.275103
5,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.03393,512,39.12877,26.20475,25.55665,531.37495,38.16101,,,,,,0,524.715,37.41721,1,1,1.153,0.683,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['aa589fe00fbab9930fbf411e8713fbd6'],2026-08-25T20:18:37.275148,2026-08-25T20:18:57.310701
avg,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,20.07408,512.0,39.20719,26.15053,25.50553,531.17692,38.24014,,,,,,0,524.4188,37.47565,1,1,1.2134,0.5786,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['cb822cd749d9dd327a64e7a856002bde'],,
mini,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002,512,20.03393,512,39.12877,26.20475,25.55665,528.81395,38.16101,,,,,,0,522.108,37.41408,1,1,1.153,0.435,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['cb822cd749d9dd327a64e7a856002bde'],,
median,Qwen3.5-2B-INT4-g128,ov,GPU,,,,,,,,1002.0,512.0,20.06369,512.0,39.18689,26.16424,25.51874,531.37495,38.2201,,,,,,0,524.543,37.45906,1,1,1.228,0.601,7.1616,5.3,2.496,37.0792,47.792,1.9288,1.9176,1.728,4.5504,2.7472,1.7632,3.48,0.8144,0.7768,0.776,0.4312,0.76,,,0.0,1337.93334,1350.49219,8602.19994,8736.69141,125,['cb822cd749d9dd327a64e7a856002bde'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd_tokens_throughput: batch_size * 1000 / 2nd_avg_latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_throughput: output_size / generation_time(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_time: Time for one interaction. (e.g. The duration of  answering one question or generating one picture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
