iteration,model,framework,device,pretrain_time(s),initial_sys_mem(MiB),initial_rss_mem(MiB),compile_max_rss_mem(MiB),compile_max_sys_mem(MiB),compile_max_increase_rss_mem(MiB),compile_max_increase_sys_mem(MiB),input_size,infer_count,generation_time(s),output_size,latency(ms),2nd_tokens_throughput(tokens/s),total_throughput(tokens/s),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MiB),max_sys_mem(MiB),max_increase_rss_mem(MiB),max_increase_sys_mem(MiB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,resource_cpu_avg_util(%),resource_cpu_cpu0_avg_util(%),resource_cpu_cpu1_avg_util(%),resource_cpu_cpu2_avg_util(%),resource_cpu_cpu3_avg_util(%),resource_cpu_cpu4_avg_util(%),resource_cpu_cpu5_avg_util(%),resource_cpu_cpu6_avg_util(%),resource_cpu_cpu7_avg_util(%),resource_cpu_cpu8_avg_util(%),resource_cpu_cpu9_avg_util(%),resource_cpu_cpu10_avg_util(%),resource_cpu_cpu11_avg_util(%),resource_cpu_cpu12_avg_util(%),resource_cpu_cpu13_avg_util(%),resource_cpu_cpu14_avg_util(%),resource_cpu_cpu15_avg_util(%),resource_gpu_avg_util(%),resource_gpu_memory_avg_util(%),resource_npu_avg_util(%),resource_avg_rss_mem(MiB),resource_peak_rss_mem(MiB),resource_avg_sys_mem(MiB),resource_peak_sys_mem(MiB),resource_memory_samples,result_md5,start,end
0,Qwen3.5-2B-INT4,ov,GPU,5.05763,,,,,,,1002,512,21.3084,512,41.61798,24.99786,24.02808,860.58367,40.00343,,,,,,0,675.766,39.21592,1,1,4.904,0.762,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['336085cfc438c019fa8a3219e9272788'],2026-08-25T20:14:38.338088,2026-08-25T20:14:59.648266
1,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,20.92915,512,40.87724,24.97842,24.46349,469.32955,40.03456,,,,,,0,462.621,39.29322,1,1,1.133,0.581,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['e266acde069b03e3218b2134aea74b10'],2026-08-25T20:14:59.648311,2026-08-25T20:15:20.579116
2,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,20.39674,512,39.83738,25.64024,25.10205,464.87926,39.0012,,,,,,0,458.184,38.2865,1,1,1.14,0.683,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['6e319ad7a3dad4d94f83dc241e15e943'],2026-08-25T20:15:20.579161,2026-08-25T20:15:40.977534
3,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.38152,512,37.85454,27.02106,26.41691,468.13947,37.00817,,,,,,0,461.437,36.23691,1,1,1.151,0.611,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['c4e75e7ef06f0213295afe4b2df8d7ae'],2026-08-25T20:15:40.977576,2026-08-25T20:16:00.360724
4,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.42652,512,37.94242,26.98211,26.35572,485.98374,37.06159,,,,,,0,479.535,36.28706,1,1,1.13,0.567,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['aaa1224c47ca7639deebcc22ea949d39'],2026-08-25T20:16:00.360767,2026-08-25T20:16:19.788941
5,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,20.37095,512,39.787,25.69649,25.13384,482.71773,38.91582,,,,,,0,476.253,38.16671,1,1,1.127,0.699,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['35cde01e6b12242aa582e68740c0d6e0'],2026-08-25T20:16:19.788985,2026-08-25T20:16:40.161591
avg,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,20.10098,512.0,39.25972,26.03877,25.4714,474.20995,38.40427,,,,,,0,467.606,37.65408,1,1,1.1362,0.6282,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['e266acde069b03e3218b2134aea74b10'],,
mini,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002,512,19.38152,512,37.85454,27.02106,26.41691,464.87926,37.00817,,,,,,0,458.184,36.23691,1,1,1.127,0.567,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['e266acde069b03e3218b2134aea74b10'],,
median,Qwen3.5-2B-INT4,ov,GPU,,,,,,,,1002.0,512.0,20.37095,512.0,39.787,25.69649,25.13384,469.32955,38.91582,,,,,,0,462.621,38.16671,1,1,1.133,0.611,6.92661,7.89194,24.725,8.26855,2.36532,0.78387,6.45565,1.24194,48.15726,0.98226,1.7,4.09758,1.12419,1.22097,0.53145,0.55565,0.4879,,,0.0,1267.75529,1275.51953,8531.4995,8807.30469,124,['e266acde069b03e3218b2134aea74b10'],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd_tokens_throughput: batch_size * 1000 / 2nd_avg_latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
